,,yield per colony,stocks december,average price per pound,value of production,lost colonies,percent lost,added colonies,renovated colonies,percent renovated,varroa mites,other pests and parasites,diseases,pesticides,other,unknown
2017,Idaho,44,0.063469914,-0.942704375,-0.050628397,0.004379161,-0.369671098,0.054680589,0.217724077,0.920194807,0.656596876,1.106998133,1.89929217,1.225649751,-0.297576701,-0.502058765
2017,Illinois,46,-0.409180061,1.403363717,-0.479691474,-0.364626772,0.118986022,-0.372025878,-0.369717666,-0.197452459,-0.470011167,-0.16636464,-0.471992666,-0.519911909,-0.076059013,-0.061619694
2017,Indiana,48,-0.430174764,0.755627746,-0.571458365,-0.378827909,0.143418879,-0.39742364,-0.393396197,-0.658703712,-0.833289329,-0.765943381,-0.378436664,0.901180642,0.011517747,-0.024916438
2017,Iowa,58,0.058086657,-0.603037951,-0.302247292,-0.285234586,-0.100909682,-0.156927301,-0.275836456,0.086394465,0.196370247,0.629116066,0.456370745,1.849944744,0.794557015,0.097427748
2017,Kansas,79,-0.35911577,0.945209006,-0.487895518,-0.399067326,0.436613151,-0.403080961,-0.383044276,0.299279659,0.159596691,0.724098837,0.031770425,1.028503963,-0.343940868,1.198525427
2017,Kentucky,38,-0.476470775,0.866216814,-0.617891566,-0.390680827,0.216717447,-0.40813644,-0.388398718,-0.268414191,0.276603461,1.166362364,-0.410821434,-0.602055987,0.50091729,1.161822171
2017,Louisiana,81,-0.348887581,-0.871611403,-0.129624043,-0.202487801,-0.394103954,-0.101918879,0.134670737,1.470148224,0.069334325,1.970747705,-0.619523286,-1.00456197,-0.750915224,0.556218448
2017,Maine,33,-0.471625844,1.94840984,-0.500920497,-0.416399422,-0.223073962,-0.443284053,-0.388874668,-0.729665443,-0.856690683,-0.448344741,0.647081058,-0.565091152,0.186671268,-0.232901555
2017,Michigan,45,-0.056576719,-0.452952787,0.114552008,0.021152158,-0.17420825,-0.15126998,-0.088668973,-0.144231161,0.045932971,-0.42756726,-0.137350041,0.461709824,-0.410911332,-0.575465277
2017,Minnesota,62,0.047858469,-0.887409841,0.545475796,0.032334156,-0.29637253,-0.14874224,-0.27762127,-0.782886742,-0.091132102,-0.997463885,-0.342453586,1.348865868,0.408188955,-0.324659695
2017,Mississippi,80,-0.454399421,-0.926905937,-0.524263964,-0.300889383,-0.41853681,-0.113474259,-0.005020696,0.441203121,0.140652738,-0.009049426,-0.551155438,-1.090813252,-0.137877903,-0.716161091
2017,Missouri,65,-0.468395889,0.43175976,-0.528154542,-0.410808423,-0.41853681,-0.431367568,-0.391849358,-0.428078086,-0.101161254,0.80424055,-0.382034971,0.317957688,-0.524245963,1.52885473
2017,Montana,72,0.84996378,-0.539844198,1.347442304,-0.04403889,-0.638432515,-0.105409567,0.18345565,0.37024139,0.189684146,-0.519581819,-0.133751734,-0.655449638,0.428795252,-0.72839551
2017,Nebraska,63,-0.271368679,-0.784719992,-0.238052757,-0.292502885,-0.41853681,-0.365646346,0.072202251,2.162025103,-0.299515588,0.035473748,-0.432411281,0.687606039,0.26394488,-0.306308067
2017,New Jersey,28,-0.409180061,3.852121659,-0.441462317,-0.414498483,-0.760596795,-0.432571253,-0.397917725,-0.907069771,-0.737455213,-0.93216323,-0.392829895,-0.938846707,-1.116676988,-0.942497836
2017,New York,56,-0.086722959,0.021000363,0.129183963,-0.244979393,-0.29637253,-0.210852406,-0.208489479,0.0509136,-0.261627681,-0.101063985,0.294446894,-0.363838161,0.495765715,-0.208432718
2017,North Carolina,41,-0.445786209,1.071596512,-0.51792063,-0.288589186,0.118986022,-0.308110185,-0.325930232,-0.126490728,0.705628284,0.827986243,-0.295675584,-0.244729247,0.26394488,-0.294073648
2017,North Dakota,74,1.857171188,-0.863712183,4.698752254,0.570635539,-0.760596795,0.332731912,1.302058005,-0.037788564,-0.219282374,-0.445376529,-0.40002651,-0.663664046,-0.725157354,-0.936380627
2017,Ohio,73,-0.145400462,0.107891774,-0.394521649,-0.329962578,0.07012031,-0.343618903,-0.341398619,0.0509136,0.385809779,0.385722716,0.024573809,-0.265265267,0.794557015,0.654093797
2017,Oregon,40,0.038168606,-0.863712183,-0.184684178,-0.034757832,-0.345238242,-0.094937504,0.421430835,1.505629089,0.417011585,0.166075058,1.449503696,0.408316174,0.773950719,0.287061237
2017,Other States,43,-0.400028524,0.889914471,-0.171405466,-0.191753083,6.801372148,-0.021031222,-0.249064248,4.734387858,7.090854878,1.210885538,7.90486788,1.451545965,5.266123362,1.871418452
2017,Pennsylvania,46,-0.403796804,0.329069911,-0.47182574,-0.313860501,0.094553166,-0.260564612,-0.346158123,-0.091009863,-0.144620911,-0.976686404,-0.457599435,-0.618484803,-0.792127818,-0.416417835
2017,South Carolina,34,-0.484545661,0.060496459,-0.542617342,-0.37390783,-0.345238242,-0.346868854,-0.340565706,0.0509136,-0.42989456,0.320422061,0.445575821,-0.298122898,-0.647883742,-0.844622487
2017,South Dakota,57,3.022108029,-0.847913745,1.664608979,-0.010157436,-0.54070109,-0.252259183,-0.042144825,-0.410337653,-0.637163696,-0.964813558,-0.281282353,-0.376159772,0.681222384,-0.587699696
2017,Tennessee,41,-0.458706026,1.340169964,-0.569851387,-0.37692697,0.241150303,-0.401155065,-0.375310083,0.015432734,0.15736799,0.940778283,-0.493582513,-0.680092861,0.258793305,0.880430542
2017,Texas,66,0.737453706,-0.689929362,0.729939934,0.809483015,-0.247506818,1.910763445,2.271687893,1.363705627,-0.010898888,1.077316017,-0.259692506,0.589033145,0.099094507,-0.428652253
2017,Utah,31,-0.463012632,-0.729425458,-0.537627253,-0.287470986,-0.076476826,-0.193519337,-0.251681975,0.37024139,0.074906076,-1.101351291,-0.216512813,-0.166692373,0.691525532,0.641859378
2017,Vermont,45,-0.434481369,0.937309786,-0.572304143,-0.42881144,-0.833895363,-0.451830219,-0.404700018,-0.889329338,-0.120105207,0.210598232,0.405994436,1.061361594,-0.653035316,-0.826270859
2017,Virginia,35,-0.478085752,2.169587976,-0.598607832,-0.390345367,-0.027611114,-0.393932952,-0.386256941,-0.339375922,-0.247141129,0.905159744,-0.410821434,-0.569198356,-0.307879849,-0.000447601
2017,Washington,45,0.359010731,-0.579340293,-0.024070974,-0.029166833,-0.320805386,0.101624319,0.11920235,0.583126584,-0.668365501,-0.997463885,-0.403624818,-0.864917037,-0.709702631,-0.691692254
2017,West Virginia,40,-0.472164169,0.684534773,-0.605289477,-0.406000164,-0.320805386,-0.401997644,-0.337710004,1.505629089,-0.25382723,-0.988559251,-0.436009588,-1.189386145,0.330915343,-0.514293184
2017,Wisconsin,56,-0.131403993,-0.168580897,0.011874583,-0.114150017,0.143418879,-0.222407786,-0.189332476,-0.144231161,0.15625364,0.418373043,1.312768,0.769750117,0.464856271,1.186291008
2017,Wyoming,53,-0.398951872,-1.100688758,-0.405432183,-0.287470986,-0.003178258,-0.307628711,-0.323193518,-0.303895056,-0.438809362,-1.184461216,0.452772437,-0.696521677,-0.33363772,-0.64275458
